review_identity,review_deletion,pub_identity,brunch,dart,entertain,favourite,garden,history,late,music,pool,quiz,roast,sport,beer,cocktail,outdoor,restaurant,wine,nofeature,scenic,private,dj,comedy,karaoke,timeout,hours
76b8eb90-7952-4533-b7d8-b82964677bda,0,8667fb3f-bfb6-4985-b33a-dbb9a5137a47,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81851372-a87b-4ab5-b665-97a8cb5161e8,0,62d723d6-d338-406e-a1fa-cca2747ba338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9b5f0ff6-8539-43d5-9a17-f4467b11d10b,0,78a786cb-976f-421b-8fc5-101cd371de99,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cd101467-d66d-424d-ad0e-4abb59139afa,0,667004f6-2829-40a8-b1ab-79c5343e5fd3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287712f4-6d18-48fc-8002-28033c5c3182,0,dce72725-aec6-495c-93a4-88fa5b2ddef5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f741bcce-71e1-4e88-8268-b0d7a8c153a1,0,44e3ec1e-f40a-445b-9edb-7994fc4d08d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
a77aa86b-afda-4ce2-b6a6-1cbc3f777c8a,0,3b05d8a9-6c34-4508-a0ba-a8dec0354501,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94bd2560-61cf-4a14-9b49-854f09b903b3,0,33e2d423-03c7-4afa-af3f-8cc716675346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8caa15ad-ab94-45c7-9c9d-48634cf9b864,0,43f79eca-8015-4999-b209-477e6b12f73c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9c12e893-2f56-4992-b727-fd7f71b9d85e,0,af1eed5b-ad31-4fc7-a014-137676ff694f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
a66c1a4f-0f56-4e22-abfb-bd66e34ad17e,0,cf39e857-00e3-481d-a901-145fa643a1e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7e2952ae-8e3a-4ddc-a6e1-65e2e39491fa,0,9b5aa248-edae-4091-a1bb-be57d01ead4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d43b89bb-1636-4949-9c04-c576495c4705,0,7f167fc7-8c05-4d44-a272-7c71a5be5e18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6513bccc-e29f-40bb-9b53-85fef5dd58fe,0,52d07db8-af91-4541-8e7b-e35fa2bc3539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28620f26-6aea-4050-8f31-62ac620f75ca,0,b0c92c17-eda1-4f5b-98a3-2f1bd1b4a0ee,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759dc079-6e0c-4b2d-b021-78e72e0df012,0,64e91f6a-88e8-4172-ac3f-625e481ac685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dd5a7cfd-7efa-492f-8e7b-a1da96cca133,0,7d9499f6-7862-484c-b1dd-86d9ab942608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c49e19a0-18df-404b-9f96-0f91cafb6464,0,5990ed18-2cf4-488f-9e52-1f971c3ed48f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
550d4912-3935-4e5c-bccc-28d03d8ec65c,0,8647af6a-cf21-4f8a-8bfa-16354930fff6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11687b32-a8e4-4309-ac34-adbf51c19849,0,dc760f0f-00b9-464a-906c-6f618b4ac929,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b621abed-5178-49be-ac70-16eca475441f,0,15707356-0832-4819-b85e-283b28e3447b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
