station_identity,station_deletion,station_name,station_latitude,station_longitude,zone,postcode,direction_identity
177e6ed5-26bd-48e0-bc5b-a4ca06d99a7a,false,Barons Court,51.490228334902,-0.2134301424178916,2,W14 9DP,095bb39d-fce2-48a9-a766-d2c297c55985
37678f28-587e-425b-85bc-ce59849d3e0a,false,Battersea Park,51.47731808303144,-0.1481237603927114,2,SW8 4NB,4e8ce58e-daea-4d93-9490-11e0724e6445
5b1b4bb9-bd45-4c27-ab6e-71ee7d71d35d,false,Battersea Power Station,51.479496343757326,-0.1420013513646783,1,SW11 8AL,4e8ce58e-daea-4d93-9490-11e0724e6445
51f2f198-87f2-4952-a845-e689c365f628,false,Bayswater,51.51211098317958,-0.1879015718782054,1,W2 4QH,095bb39d-fce2-48a9-a766-d2c297c55985
4a404d80-26f7-4cfc-a255-e862539b924d,false,Beckenham Hill,51.42462603356409,-0.0164957619689126,4,SE6 3NU,4e8ce58e-daea-4d93-9490-11e0724e6445
0ec12975-f6cc-4cd5-9d54-dd777b3f9e5c,false,Beckenham Junction,51.410941601884666,-0.0257017391145474,4,BR3 1HY,a1f41008-b499-4a71-82d4-444dc4d71d82
22784fe0-e5d0-45bd-93a0-5235003a2654,false,Beckenham Road,51.40952967986142,-0.043391921968959,"3,4,5,6",BR3 4RR,a1f41008-b499-4a71-82d4-444dc4d71d82
e6a0f682-8192-4813-868e-f3185a7f3fa0,false,Beckton,51.51437673300682,0.0615252971597842,3,E6 5NT,d760aad1-f5d3-476a-9030-9fb1c919b639
ac69eb94-0363-4c27-9f20-6183a0b66c3f,false,Beckton Park,51.50890088618667,0.0548219390453978,3,E6 5NE,d760aad1-f5d3-476a-9030-9fb1c919b639
1d6f0f4b-981d-46d6-bb26-1e6cbc9473c0,false,Becontree,51.53958561974398,0.1268802926935937,5,RM9 4TP,c31d725d-5697-4031-94b4-0b4545cf75ef
c45e19ee-e0bd-4ac8-8900-71d5e5473866,false,Beddington Lane,51.389239651469765,-0.1421384331905475,"3,4,5,6",CR0 4TF,a1f41008-b499-4a71-82d4-444dc4d71d82
fdf0b631-7b07-466e-bc46-a79862e8b3d2,false,Belgrave Walk,51.40096135634269,-0.1784964722050899,"3,4,5,6",CR4 4NY,a1f41008-b499-4a71-82d4-444dc4d71d82
d634a565-f3f7-46ac-ab8d-baa9bd7dc726,false,Bellingham,51.43386486264608,-0.0204117702937991,3,SE6 3BT,4e8ce58e-daea-4d93-9490-11e0724e6445
a776ad43-e718-43f0-b706-8b42522f4a26,false,Belmont,51.34411959994204,-0.1994892508729616,5,SM2 6BH,4e8ce58e-daea-4d93-9490-11e0724e6445
16dc8b1d-6923-4eec-8801-b8e5f888514f,false,Belsize Park,51.55019061178192,-0.1639744910255186,2,NW3 2AL,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
210229ad-f258-4fc9-ad5d-9cc4c2ff3534,false,Belvedere,51.49195925487853,0.1520337932923139,5,DA17 6JW,a1f41008-b499-4a71-82d4-444dc4d71d82
2a815311-c162-4c4a-94bf-e5a3e1638564,false,Bermondsey,51.49796067750633,-0.0643300898115236,2,SE16 4RX,4e8ce58e-daea-4d93-9490-11e0724e6445
03300a9f-e7e3-4727-92d5-b1263d26ed19,false,Berrylands,51.39876794902152,-0.2803214728845223,5,KT5 8LT,d68422e6-b4c1-4d76-ad60-6fdc8758d831
ff9f143a-4b17-424b-a8fc-1730006f68ef,false,Bethnal Green,51.52719165312213,-0.055392111450162,2,E2 0ET,d760aad1-f5d3-476a-9030-9fb1c919b639
75d3e34e-3654-4a83-b2a6-bb658144d808,false,Bethnal Green Rail,51.524282643710485,-0.0600137423991465,2,E2 6JL,d760aad1-f5d3-476a-9030-9fb1c919b639
2dbcc263-17f9-48aa-a01f-51465127a4ec,false,Bexley,51.44081477613684,0.1482039142729925,6,DA5 1AQ,a1f41008-b499-4a71-82d4-444dc4d71d82
b454afbf-a295-4899-8a16-5b741c33d241,false,Bexleyheath,51.46355017881958,0.1333629660724762,5,DA7 4AA,a1f41008-b499-4a71-82d4-444dc4d71d82
d80c250f-0442-441f-988e-e5aa6268b299,false,Bickley,51.40037964448855,0.0443040316998264,5,BR1 2EB,a1f41008-b499-4a71-82d4-444dc4d71d82
b5e206d6-6789-42a8-816f-e8fd95a0c8d8,false,Birkbeck,51.40386300465971,-0.0562862355401811,4,BR3 4TA,a1f41008-b499-4a71-82d4-444dc4d71d82
afa09622-cf9e-46f3-8137-da52aa748819,false,Blackfriars,51.51158676169501,-0.1029953846245054,1,EC4V 4DD,fa3a9c79-9948-4923-ac41-55e5962faba9
1c67f9fb-4ab9-412e-94ec-79eb1c43d189,false,Blackheath,51.46540802722941,0.0083365947125195,3,SE3 9LE,4e8ce58e-daea-4d93-9490-11e0724e6445
6c944689-fb52-4d48-9aa7-4edc84b35300,false,Blackhorse Lane,51.38474607036756,-0.0705339476144646,"3,4,5,6",CR0 6NL,a1f41008-b499-4a71-82d4-444dc4d71d82
b2452466-5e6c-481f-abf5-bd2527db9c42,false,Blackhorse Road,51.58577656484627,-0.0396257114650528,3,E17 6JJ,d760aad1-f5d3-476a-9030-9fb1c919b639
7aca5d33-e34b-4616-9047-f23a97feb291,false,Blackwall,51.50783153133504,-0.0072351658776662,2,E14 9QB,d760aad1-f5d3-476a-9030-9fb1c919b639
b4cab5b5-ba6c-4e95-8268-2a3333c8d890,false,Bond Street,51.513797282327445,-0.1496136085316461,1,W1C 2HU,095bb39d-fce2-48a9-a766-d2c297c55985
57e01997-ee1b-4f2b-91fa-d0797ed221d2,false,Borough,51.50104871772216,-0.0941973226385839,1,SE1 1JX,4e8ce58e-daea-4d93-9490-11e0724e6445
96b273da-b7cd-489d-aca1-493eef603881,false,Boston Manor,51.49576500584812,-0.3247471826223813,4,TW8 9LQ,d68422e6-b4c1-4d76-ad60-6fdc8758d831
cf76aa5f-76dc-4d7f-8e8c-2004bfc851d6,false,Bounds Green,51.60703172061751,-0.1241770647347964,"3,4",N11 2EU,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
749c295d-c53a-4726-b9d6-c929a15b4d9a,false,Bow Church,51.52761517272713,-0.0204998991771463,2,E3 3AA,d760aad1-f5d3-476a-9030-9fb1c919b639
8de24259-8e46-488a-a92e-880416cf8cd4,false,Bow Road,51.52704176950966,-0.0243595906326814,2,E3 4DH,d760aad1-f5d3-476a-9030-9fb1c919b639
589f4b88-e161-4e9f-820f-43b69593267c,false,Bowes Park,51.60724932125086,-0.1197922183441603,"3,4",N22 8NL,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
