pub_identity,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1190fe04-7140-4fc0-82a1-8aa5e60e2cf0,TBC,TBC,TBC,TBC,TBC,TBC,TBC
11e6a9b3-c9bb-4074-99b3-ac719ffcd1ff,Closed,no events,no events,no events,no events,no events,no events
1271097e-084d-4fe9-a4fa-753df9ad1268,no events,no events,no events,no events,no events,no events,no events
128ebbec-59a4-431c-9473-fc011f0210ca,no events,no events,no events,no events,no events,no events,no events
12a39cf2-449c-4e3e-b7ca-40622cf386aa,no events,7.30pm quiz,no events,no events,no events,no events,no events
12b05c98-b08f-4df2-850e-76180a358f48,no events,no events,no events,Steak night,no events,no events,no events
1305f2b9-18f3-4e05-964c-000407d6dc88,no events,no events,no events,no events,no events,no events,no events
13177ee7-67ff-42b4-8bd1-4c1f7a91598f,comedy,no events,8pm quiz,no events,no events,no events,no events
132ae07c-5a77-4646-b439-efb23e4ae3cf,no events,no events,no events,no events,no events,no events,no events
1342830d-e087-49e6-8266-71ea278355b2,no events,no events,no events,no events,no events,no events,no events
139bde09-27ac-4b94-a94e-9a030fffa1a8,no events,no events,no events,no events,no events,no events,no events
13fb6723-9762-460f-95e1-0da7c5a12f52,no events,no events,no events,no events,no events,no events,no events
1403808e-3733-4107-bb1b-9ec444a34484,no events,no events,no events,no events,no events,no events,no events
143ea7fa-72e7-47a9-b034-8f95a5465e62,no events,no events,no events,no events,no events,no events,quiz
144c41db-e6f0-4b3f-b6d1-5b6b5b2e5fcb,no events,no events,no events,7.30pm quiz,no events,no events,no events
1496934f-16e7-4848-b686-504957119989,no events,no events,no events,Live music,Live music,Live music,no events
14ca1c76-ccbf-48b7-aa3f-d0276cb0e0dd,no events,no events,no events,no events,no events,no events,no events
1524dcfa-ec35-4518-8373-45b6a1d702c8,no events,no events,no events,no events,no events,no events,no events
152d53a2-07ed-4b5b-8cc4-ef9ab45c57e3,no events,no events,no events,no events,no events,no events,no events
15ea92fa-f9d6-43b6-b2aa-3d58139d18fe,no events,no events,no events,no events,no events,no events,Closed
1605a183-1c79-44a6-905a-aab6d109bfbf,Closed,Closed,no events,no events,no events,no events,no events
162dd12d-330c-429f-a3e1-12661ebfb5c7,no events,no events,8.30pm quiz,no events,no events,no events,no events
169e21f6-c32f-4ad6-862c-db0712ee1fb0,no events,no events,no events,no events,no events,no events,no events
16f76f29-ae95-49a7-8591-27ab87dd1bf4,no events,no events,no events,no events,no events,no events,no events
17168dd2-1b21-4175-a60f-ae9324c45d2c,no events,no events,no events,no events,no events,no events,no events
179ffa7c-b7dc-466d-a498-b181fdb219c9,no events,no events,no events,no events,no events,no events,no events
17ee2a1c-5789-46fb-86a6-6e248f4beba9,no events,no events,no events,no events,no events,no events,no events
180f2d7c-ac08-4db1-88a7-ffb8f4d0029d,no events,no events,no events,no events,no events,no events,no events
182940a3-51d2-4bf5-aa13-e4d5e3770660,no events,no events,no events,no events,no events,no events,no events
19058774-95fa-44a4-9dc3-ba8c1bf54c5e,no events,no events,no events,no events,no events,no events,no events
1add98b7-8cca-4c6e-9a8a-a35e3b4e41ec,8.30pm quiz,no events,no events,no events,no events,no events,no events
1b258b22-a853-4d64-947e-5ef4ade978be,no events,no events,no events,no events,no events,no events,no events
1b463e1c-9190-4275-a39c-d694eb42d636,no events,no events,no events,no events,no events,no events,Closed
1b4ccd05-d381-4acd-9a01-5001e177af45,no events,no events,no events,no events,no events,no events,no events
1ba25292-f62c-49c1-8d27-f6f237d469a0,no events,no events,no events,no events,no events,no events,no events
1c199a57-3098-4df8-bdac-264d8eab6968,no events,quiz,no events,no events,no events,no events,no events
1c7e7828-93b6-44b9-86da-4b955c71b29f,no events,no events,no events,no events,no events,no events,no events
1c824df1-d850-435e-8e86-275108d5c40f,TBC,TBC,TBC,TBC,TBC,TBC,TBC
1d738594-fab9-441a-ae75-2283218418d7,no events,no events,no events,no events,no events,no events,no events
1d7a8905-b34f-4fc2-8eed-ade8cc3a0a8d,no events,no events,no events,no events,no events,no events,no events
1d87e7f7-723f-46eb-b9b2-cb5b25a489c0,no events,no events,no events,no events,no events,no events,no events
1f0559e7-d494-4404-8d53-e093ba2091b6,Closed,no events,no events,no events,no events,no events,Live music
1fe108f3-ae4e-4182-b744-b04fe60c2e5c,no events,no events,no events,no events,no events,no events,no events
20206090-61e3-4258-9023-955f54ed7ebc,no events,no events,no events,no events,no events,no events,no events
20a2785f-94a0-474f-ac6b-284bd9366bf7,no events,no events,7.30pm quiz,bingo,no events,no events,no events
2126582f-d4b3-44d2-afe2-5bed8420088a,no events,no events,no events,no events,no events,no events,no events
2187101a-c4ba-4e73-abba-01f094808673,no events,no events,no events,no events,no events,no events,no events
21ba3669-2407-4fa3-928f-3ab6943c4917,no events,no events,no events,no events,no events,no events,no events
22003f66-9161-4304-b2d2-6b3dc719b353,no events,no events,no events,no events,no events,no events,no events
225ccf9c-41d4-4a1d-8316-a50397a1776f,no events,no events,no events,no events,no events,no events,no events
22646d9c-ddb7-4170-86d6-d54993e70a20,Closed,no events,no events,no events,no events,no events,no events
22a054c1-2fa8-43e4-8e8b-d871ef06775e,no events,no events,no events,no events,no events,no events,no events
23a49eca-7ba3-4e8e-acc1-24a6ef5bb145,no events,no events,7.30pm quiz,no events,no events,no events,no events
24011888-8956-4721-bd31-16e25befa503,no events,no events,no events,no events,no events,no events,no events
24f5f284-5c7b-41cf-bcec-56e7db601464,no events,no events,quiz,no events,no events,no events,no events
24f986b5-187e-42fc-b67e-0727cdea5e21,no events,no events,no events,no events,no events,no events,no events
25226e95-c677-4537-9acb-11e2f96b1647,no events,no events,no events,no events,no events,no events,no events
25778f10-deeb-4cbb-a724-52493a571301,no events,quiz,no events,no events,no events,no events,no events
25f791cc-a5a6-4cac-8b69-586702af957d,no events,no events,no events,no events,no events,no events,no events
262f94d5-8c95-4f3c-b275-61d230450b40,no events,no events,no events,no events,no events,no events,no events
2683aaaf-fd32-4b1d-8446-34b85213b0ed,no events,no events,no events,no events,no events,no events,no events
2690523e-72c8-42b2-be66-91a61c5ecdb8,no events,no events,no events,Cocktail class,DJs,DJs,no events
2697bc03-5d16-4a51-a27f-66ff6a87b344,no events,no events,no events,no events,no events,no events,no events
273730d6-1943-4988-a03c-636b744e477e,Closed,no events,no events,no events,no events,no events,no events
277afc92-7eba-4f26-8850-b608c10238ac,TBC,TBC,TBC,TBC,TBC,TBC,TBC
284bc813-b322-4dfc-9476-0a96d7bf5b53,no events,no events,no events,no events,no events,no events,no events
29811e34-265f-48ce-b2a2-7b2cb3597648,no events,no events,no events,no events,no events,no events,no events
